Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
5628,111.3244,medio-centro,Sí,100,full,Sí,medio-centro,0.5579,0.5339,fingertip,Sí
5629,111.3427,medio-centro,Sí,100,full,Sí,medio-centro,0.5573,0.5329,fingertip,Sí
5630,111.3631,medio-centro,Sí,100,full,Sí,medio-centro,0.5577,0.5336,fingertip,Sí
5631,111.3813,medio-centro,Sí,100,full,Sí,medio-centro,0.5571,0.5333,fingertip,Sí
5632,111.3993,medio-centro,Sí,100,full,Sí,medio-centro,0.5573,0.5333,fingertip,Sí
5633,111.4194,medio-centro,Sí,100,full,Sí,medio-centro,0.557,0.5324,fingertip,Sí
5634,111.4375,medio-centro,Sí,100,full,Sí,medio-centro,0.5573,0.5324,fingertip,Sí
5635,111.4548,medio-centro,Sí,100,full,Sí,medio-centro,0.5563,0.5309,fingertip,Sí
5636,111.4723,medio-centro,Sí,100,full,Sí,medio-centro,0.5566,0.5316,fingertip,Sí
5637,111.4894,medio-centro,Sí,90,lost,Sí,,,,,Sí
5638,111.5044,medio-centro,Sí,100,full,Sí,medio-centro,0.5553,0.5298,fingertip,Sí
5639,111.5266,medio-centro,Sí,100,full,Sí,medio-centro,0.5538,0.5291,fingertip,Sí
5640,111.5454,medio-centro,Sí,100,full,Sí,medio-centro,0.5529,0.5285,fingertip,Sí
5641,111.5631,medio-centro,Sí,100,full,Sí,medio-centro,0.5531,0.5283,fingertip,Sí
5642,111.5807,medio-centro,Sí,100,full,Sí,medio-centro,0.5513,0.5295,fingertip,Sí
5643,111.598,medio-centro,Sí,100,full,Sí,medio-centro,0.5518,0.5294,fingertip,Sí
5644,111.6147,medio-centro,Sí,100,full,Sí,medio-centro,0.5497,0.5298,fingertip,Sí
5645,111.6326,medio-centro,Sí,100,full,Sí,medio-centro,0.55,0.5297,fingertip,Sí
5646,111.6503,medio-centro,Sí,100,full,Sí,medio-centro,0.5481,0.5298,fingertip,Sí
5647,111.6686,medio-centro,Sí,100,full,Sí,medio-centro,0.5485,0.5295,fingertip,Sí
5648,111.6894,medio-centro,Sí,100,full,Sí,medio-centro,0.5464,0.5294,fingertip,Sí
5649,111.7091,medio-centro,Sí,100,full,Sí,medio-centro,0.5468,0.5296,fingertip,Sí
5650,111.7268,medio-centro,Sí,100,full,Sí,medio-centro,0.5454,0.5303,fingertip,Sí
5651,111.7441,medio-centro,Sí,100,full,Sí,medio-centro,0.5433,0.5313,fingertip,Sí
5652,111.7627,medio-centro,Sí,100,full,Sí,medio-centro,0.5436,0.531,fingertip,Sí
5653,111.7806,medio-centro,Sí,100,full,Sí,medio-centro,0.5411,0.5326,fingertip,Sí
5654,111.7999,medio-centro,Sí,100,full,Sí,medio-centro,0.5414,0.5322,fingertip,Sí
5655,111.8181,medio-centro,Sí,100,full,Sí,medio-centro,0.5395,0.5349,fingertip,Sí
5656,111.8347,medio-centro,Sí,100,full,Sí,medio-centro,0.5397,0.5347,fingertip,Sí
5657,111.8541,medio-centro,Sí,100,full,Sí,medio-centro,0.5374,0.5363,fingertip,Sí
5658,111.8717,medio-centro,Sí,90,lost,Sí,,,,,Sí
5659,111.8871,medio-centro,Sí,80,lost,Sí,,,,,Sí
5660,111.9074,medio-centro,Sí,70,lost,Sí,,,,,Sí
5661,111.9269,medio-centro,Sí,60,lost,Sí,,,,,Sí
5662,111.9467,medio-centro,Sí,50,lost,Sí,,,,,No
5663,111.9715,medio-centro,Sí,85.2,full,Sí,medio-centro,0.5296,0.543,fingertip,Sí
5664,111.9918,medio-centro,Sí,100,full,Sí,medio-centro,0.5303,0.5423,fingertip,Sí
5665,112.01,medio-centro,Sí,100,full,Sí,medio-centro,0.5303,0.5423,fingertip,Sí
5666,112.0324,medio-centro,Sí,100,full,Sí,medio-centro,0.5281,0.5436,fingertip,Sí
5667,112.0518,medio-centro,Sí,100,full,Sí,medio-centro,0.527,0.5431,fingertip,Sí
5668,112.0746,medio-centro,Sí,100,full,Sí,medio-centro,0.5273,0.5431,fingertip,Sí
5669,112.0967,medio-centro,Sí,100,full,Sí,medio-centro,0.5256,0.5427,fingertip,Sí
5670,112.1185,medio-centro,Sí,100,full,Sí,medio-centro,0.5245,0.5424,fingertip,Sí
5671,112.136,medio-centro,Sí,100,full,Sí,medio-centro,0.5249,0.5428,fingertip,Sí
5672,112.1554,medio-centro,Sí,100,full,Sí,medio-centro,0.5235,0.542,fingertip,Sí
5673,112.1724,medio-centro,Sí,100,full,Sí,medio-centro,0.5239,0.542,fingertip,Sí
5674,112.1908,medio-centro,Sí,100,full,Sí,medio-centro,0.5229,0.5419,fingertip,Sí
5675,112.2113,medio-centro,Sí,100,full,Sí,medio-centro,0.522,0.5411,fingertip,Sí
5676,112.2298,medio-centro,Sí,100,full,Sí,medio-centro,0.5222,0.5412,fingertip,Sí
5677,112.2467,medio-centro,Sí,100,full,Sí,medio-centro,0.5217,0.5395,fingertip,Sí
5678,112.2657,medio-centro,Sí,100,full,Sí,medio-centro,0.5219,0.5397,fingertip,Sí
5679,112.2831,medio-centro,Sí,100,full,Sí,medio-centro,0.5219,0.5384,fingertip,Sí
5680,112.3005,medio-centro,Sí,100,full,Sí,medio-centro,0.5222,0.5388,fingertip,Sí
5681,112.3211,medio-centro,Sí,100,full,Sí,medio-centro,0.5216,0.536,fingertip,Sí
5682,112.3389,medio-centro,Sí,100,full,Sí,medio-centro,0.5223,0.5363,fingertip,Sí
5683,112.3579,medio-centro,Sí,100,full,Sí,medio-centro,0.5223,0.5336,fingertip,Sí
5684,112.3748,medio-centro,Sí,100,full,Sí,medio-centro,0.5229,0.5337,fingertip,Sí
5685,112.3924,medio-centro,Sí,100,full,Sí,medio-centro,0.523,0.5316,fingertip,Sí
5686,112.4129,medio-centro,Sí,100,full,Sí,medio-centro,0.5232,0.5293,fingertip,Sí
5687,112.43,medio-centro,Sí,100,full,Sí,medio-centro,0.5236,0.5292,fingertip,Sí
5688,112.4498,medio-centro,Sí,100,full,Sí,medio-centro,0.5231,0.5277,fingertip,Sí
5689,112.4672,medio-centro,Sí,100,full,Sí,medio-centro,0.523,0.5271,fingertip,Sí
5690,112.4855,medio-centro,Sí,100,full,Sí,medio-centro,0.5226,0.5246,fingertip,Sí
5691,112.5025,medio-centro,Sí,100,full,Sí,medio-centro,0.5225,0.5237,fingertip,Sí
5692,112.5226,medio-centro,Sí,100,full,Sí,medio-centro,0.5223,0.5234,fingertip,Sí
5693,112.5392,medio-centro,Sí,100,full,Sí,medio-centro,0.5226,0.5224,fingertip,Sí
5694,112.5565,medio-centro,Sí,100,full,Sí,medio-centro,0.522,0.5211,fingertip,Sí
5695,112.5742,medio-centro,Sí,100,full,Sí,medio-centro,0.5217,0.5204,fingertip,Sí
5696,112.5938,medio-centro,Sí,100,full,Sí,medio-centro,0.5217,0.5198,fingertip,Sí
5697,112.6125,medio-centro,Sí,100,full,Sí,medio-centro,0.5215,0.5184,fingertip,Sí
5698,112.6338,medio-centro,Sí,100,full,Sí,medio-centro,0.5217,0.5186,fingertip,Sí
5699,112.658,medio-centro,Sí,100,full,Sí,medio-centro,0.5218,0.5184,fingertip,Sí
